Date, Buyer, Name, Raid, Value
08/15/20, disenchanted, The Eye of Divinity, MC , 500.00
08/15/20, disenchanted, Felheart Slippers, MC , 500.00
08/15/20, yungmage, Netherwind Pants, MC , 1875.00
08/15/20, Smexyropman, Legplates of Wrath, MC , 468.75
08/15/20, Dbcooper, Perdition's Blade, MC , 6000.00
08/15/20, Kantmiss, Cloak of the Shrouded Mists, MC , 2000.00
08/18/20, Ascindia, Leggings of Immersion, AQ40, 390.75
08/18/20, disenchanted, Boots of the Unwavering Will, AQ40, 1250.00
08/18/20, Mariahcarry, Necklace of Purity, AQ40, 313.00
08/18/20, Hokei, Creeping Vine Helm, AQ40, 3125.00
08/18/20, Morhion, Scaled Sand Reaver Leggings, AQ40, 4688.00
08/18/20, disenchanted, Pauldrons of the Unrelenting, AQ40, 625.00
08/18/20, Ragnaros, Qiraji Bindings of Command, AQ40, 2500.00
08/18/20, Piggret, Qiraji Bindings of Dominance, AQ40, 2500.00
08/18/20, Cornpops, Hive Defiler Wristguards, AQ40, 3750.00
08/18/20, Ragerv, Angelista's Touch, AQ40, 312.50
08/18/20, Mcdoobler, Angelista's Charm, AQ40, 2500.00
08/19/20, disenchanted, Boots of the Unwavering Will, AQ40, 1250.00
08/19/20, disenchanted, Barrage Shoulders, AQ40, 313.00
08/19/20, Dangarr, Recomposed Boots, AQ40, 313.00
08/19/20, Tessberra, Robes of the Battleguard, AQ40, 781.00
08/19/20, Arivas, Scaled Sand Reaver Leggings, AQ40, 4688.00
08/19/20, Caitylinn, Cloak of Untold Secrets, AQ40, 0.00
08/19/20, Hokei, Wasphide Gauntlets, AQ40, 1250.00
08/19/20, Garrius, Qiraji Bindings of Dominance, AQ40, 2500.00
08/19/20, Cornpops, Qiraji Bindings of Command, AQ40, 2500.00
08/19/20, Eno, Vek'lor's Diadem, AQ40, 3125.00
08/19/20, Tessberra, Boots of Epiphany, AQ40, 1250.00
08/19/20, Dangarr, Vek'nilash's Circlet, AQ40, 3125.00
08/19/20, Piggret, Amulet of Vek'nilash, AQ40, 5000.00
08/19/20, unassigned, Alcor's Sunrazor, AQ40, 0.00
08/19/20, Dangarr, Carapace of the Old God, AQ40, 3125.00
08/19/20, Targle, Husk of the Old God, AQ40, 3125.00
08/19/20, Warning, Eye of C'Thun, AQ40, 5000.00
08/19/20, Excellent, Death's Sting, AQ40, 10000.00
08/19/20, IROC, Scepter of the False Prophet, AQ40, 12500.00
08/19/20, Arghkettnaad, Angelista's Charm, AQ40, 2500.00
08/19/20, Piggret, Robes of Triumvirate, AQ40, 0.00
08/20/20, Moncholy, Ring of Swarming Thought, AQ40, 625.00
08/20/20, Hamerhand, Pendant of the Qiraji Guardian, AQ40, 1250.00
08/20/20, Dreadpirate, Ternary Mantle, AQ40, 1250.00
08/20/20, Sokkan, Gloves of Ebru, AQ40, 1250.00
08/20/20, Poulz, Legplates of Blazing Light, AQ40, 6250.00
08/20/20, Pathefinder, Thick Qirajihide Belt, AQ40, 2500.00
08/20/20, Libbi, Libram of Grace, AQ40, 1250.00
08/20/20, Pathefinder, Mantle of Wicked Revenge, AQ40, 625.00
08/20/20, Arathena, Qiraji Bindings of Command, AQ40, 2500.00
08/20/20, Quack, Gloves of the Messiah, AQ40, 1250.00
08/20/20, Dotterama, Qiraji Bindings of Dominance, AQ40, 2500.00
08/22/20, Ragerv, Larvae of the Great Worm, AQ40, 5000.00
08/22/20, unassigned, Skin of the Great Sandworm, AQ40, 3125.00
08/22/20, Kiteme, Imperial Qiraji Armaments, AQ40, 8750.00
08/22/20, Scrapper, Ouro's Intact Hide, AQ40, 4688.00
08/22/20, unassigned, The Black Book, BWL, 375.00
08/22/20, unassigned, Netherwind Bindings, BWL, 1000.00
08/22/20, Switter, Bloodfang Bracers, BWL, 1000.00
08/22/20, Catstevens, Belt of Transcendence, BWL, 1000.00
08/22/20, disenchanted, Dragonstalker's Belt, BWL, 1000.00
08/22/20, disenchanted, Rune of Metamorphosis, BWL, 375.00
08/22/20, Switter, Bloodfang Boots, BWL, 1000.00
08/22/20, Bellend, Bracers of Arcane Accuracy, BWL, 500.00
08/22/20, Smexyropman, Sabatons of Wrath, BWL, 250.00
08/22/20, Astranis, Head of the Broodlord Lashlayer, BWL, 0.00
08/22/20, Catstevens, Handguards of Transcendence, BWL, 1000.00
08/22/20, Dangarr, Black Ash Robe, BWL, 0.00
08/22/20, bank, Elementium Ore, BWL, 0.00
08/22/20, Ragnaros, Dragonbreath Hand Cannon, BWL, 1500.00
08/22/20, disenchanted, Nemesis Gloves, BWL, 1000.00
08/22/20, BigBanana, Emberweave Leggings, BWL, 0.00
08/22/20, Smexyropman, Gauntlets of Wrath, BWL, 250.00
08/22/20, Poulz, Judgement Spaulders, BWL, 1000.00
08/22/20, disenchanted, Dragonstalker's Spaulders, BWL, 1000.00
08/22/20, disenchanted, Shimmering Geta, BWL, 250.00
08/22/20, Bellend, Angelista's Grasp, BWL, 250.00
08/22/20, disenchanted, Bloodfang Chestpiece, BWL, 2500.00
08/22/20, Ascindia, Stormrage Chestguard, BWL, 625.00
08/22/20, Cornpops, Crul'shorukh, Edge of Chaos, BWL, 8000.00
08/22/20, Wilzea, Ashkandi, Greatsword of the Brotherhood, BWL, 1000.00
08/22/20, Ragnaros, Head of Nefarian, BWL, 1875.00
